id,category_id,zone_id,status,reported_at,resolved_at,mois,trimestre,jour_semaine,annee,latitude_center,longitude_center,rayon_km,number_of_inhabitants,surface
1838,5,1,"in progress","2025-01-04 08:48:00",,1,1,7,2025,35.76430000,10.81130000,1.50,110084,108
1981,3,1,resolved,"2023-03-06 22:16:00","2023-03-20 22:16:00",3,1,2,2023,35.76430000,10.81130000,1.50,110084,108
1984,2,1,reported,"2024-06-26 08:47:00",,6,2,4,2024,35.76430000,10.81130000,1.50,110084,108
2010,2,1,resolved,"2025-05-22 18:48:00","2025-06-05 18:48:00",5,2,5,2025,35.76430000,10.81130000,1.50,110084,108
2065,4,1,resolved,"2022-01-15 13:43:00","2022-01-22 13:43:00",1,1,7,2022,35.76430000,10.81130000,1.50,110084,108
2670,2,1,resolved,"2022-09-02 13:45:00","2022-09-03 13:45:00",9,3,6,2022,35.76430000,10.81130000,1.50,110084,108
2710,3,1,reported,"2024-08-05 20:28:00",,8,3,2,2024,35.76430000,10.81130000,1.50,110084,108
2945,6,1,resolved,"2025-01-14 12:53:00","2025-01-16 12:53:00",1,1,3,2025,35.76430000,10.81130000,1.50,110084,108
3122,4,1,"in progress","2024-06-13 22:34:00",,6,2,5,2024,35.76430000,10.81130000,1.50,110084,108
3133,4,1,reported,"2024-07-31 08:16:00",,7,3,4,2024,35.76430000,10.81130000,1.50,110084,108
3286,6,1,resolved,"2022-10-26 06:02:00","2022-10-31 06:02:00",10,4,4,2022,35.76430000,10.81130000,1.50,110084,108
3369,2,1,resolved,"2023-11-02 19:01:00","2023-11-14 19:01:00",11,4,5,2023,35.76430000,10.81130000,1.50,110084,108
3440,2,1,"in progress","2025-01-29 16:32:00",,1,1,4,2025,35.76430000,10.81130000,1.50,110084,108
3828,1,1,resolved,"2025-02-23 18:29:00","2025-03-03 18:29:00",2,1,1,2025,35.76430000,10.81130000,1.50,110084,108
3902,2,1,resolved,"2025-05-15 07:06:00","2025-05-29 07:06:00",5,2,5,2025,35.76430000,10.81130000,1.50,110084,108
3918,1,1,resolved,"2025-03-02 21:04:00","2025-03-05 21:04:00",3,1,1,2025,35.76430000,10.81130000,1.50,110084,108
4119,1,1,reported,"2023-07-09 12:16:00",,7,3,1,2023,35.76430000,10.81130000,1.50,110084,108
4348,4,1,resolved,"2022-03-28 07:44:00","2022-03-29 07:44:00",3,1,2,2022,35.76430000,10.81130000,1.50,110084,108
4370,4,1,resolved,"2023-01-07 21:36:00","2023-01-14 21:36:00",1,1,7,2023,35.76430000,10.81130000,1.50,110084,108
4557,3,1,resolved,"2023-11-29 23:01:00","2023-12-12 23:01:00",11,4,4,2023,35.76430000,10.81130000,1.50,110084,108
4867,2,1,resolved,"2025-01-23 18:46:00","2025-02-06 18:46:00",1,1,5,2025,35.76430000,10.81130000,1.50,110084,108
4937,2,1,resolved,"2024-08-30 12:07:00","2024-09-03 12:07:00",8,3,6,2024,35.76430000,10.81130000,1.50,110084,108
21,5,2,reported,"2026-04-20 16:50:14",,4,2,2,2026,35.77800000,10.80000000,2.00,110084,108
39,3,2,resolved,"2023-08-16 18:17:00","2023-08-22 18:17:00",8,3,4,2023,35.77800000,10.80000000,2.00,110084,108
160,5,2,reported,"2025-04-08 09:19:00",,4,2,3,2025,35.77800000,10.80000000,2.00,110084,108
421,5,2,reported,"2023-09-05 10:14:00",,9,3,3,2023,35.77800000,10.80000000,2.00,110084,108
637,4,2,"in progress","2025-03-05 07:17:00",,3,1,4,2025,35.77800000,10.80000000,2.00,110084,108
692,6,2,reported,"2025-05-29 09:03:00",,5,2,5,2025,35.77800000,10.80000000,2.00,110084,108
940,2,2,resolved,"2025-03-26 12:42:00","2025-04-08 12:42:00",3,1,4,2025,35.77800000,10.80000000,2.00,110084,108
1005,2,2,rejected,"2025-01-07 18:20:00",,1,1,3,2025,35.77800000,10.80000000,2.00,110084,108
1224,4,2,"in progress","2024-10-11 04:55:00",,10,4,6,2024,35.77800000,10.80000000,2.00,110084,108
1323,3,2,reported,"2022-05-25 20:23:00",,5,2,4,2022,35.77800000,10.80000000,2.00,110084,108
1541,6,2,"in progress","2025-01-14 11:53:00",,1,1,3,2025,35.77800000,10.80000000,2.00,110084,108
1547,3,2,resolved,"2022-11-23 03:27:00","2022-11-27 03:27:00",11,4,4,2022,35.77800000,10.80000000,2.00,110084,108
1548,2,2,"in progress","2024-12-28 17:43:00",,12,4,7,2024,35.77800000,10.80000000,2.00,110084,108
1608,1,2,"in progress","2024-02-27 13:22:00",,2,1,3,2024,35.77800000,10.80000000,2.00,110084,108
1645,1,2,resolved,"2023-12-04 11:48:00","2023-12-11 11:48:00",12,4,2,2023,35.77800000,10.80000000,2.00,110084,108
1685,6,2,rejected,"2025-04-08 07:17:00",,4,2,3,2025,35.77800000,10.80000000,2.00,110084,108
1941,4,2,resolved,"2024-07-20 07:30:00","2024-08-03 07:30:00",7,3,7,2024,35.77800000,10.80000000,2.00,110084,108
1942,2,2,resolved,"2023-08-06 17:48:00","2023-08-17 17:48:00",8,3,1,2023,35.77800000,10.80000000,2.00,110084,108
1954,4,2,resolved,"2025-01-21 20:03:00","2025-02-01 20:03:00",1,1,3,2025,35.77800000,10.80000000,2.00,110084,108
2001,4,2,"in progress","2025-04-02 20:32:00",,4,2,4,2025,35.77800000,10.80000000,2.00,110084,108
2154,2,2,"in progress","2022-05-11 11:47:00",,5,2,4,2022,35.77800000,10.80000000,2.00,110084,108
2195,4,2,resolved,"2022-01-31 12:22:00","2022-02-02 12:22:00",1,1,2,2022,35.77800000,10.80000000,2.00,110084,108
2261,2,2,reported,"2024-08-30 17:07:00",,8,3,6,2024,35.77800000,10.80000000,2.00,110084,108
2288,4,2,reported,"2024-07-02 16:53:00",,7,3,3,2024,35.77800000,10.80000000,2.00,110084,108
2474,4,2,"in progress","2024-10-03 03:37:00",,10,4,5,2024,35.77800000,10.80000000,2.00,110084,108
2499,1,2,resolved,"2024-11-26 17:53:00","2024-12-05 17:53:00",11,4,3,2024,35.77800000,10.80000000,2.00,110084,108
2719,1,2,validated,"2025-01-02 13:15:00",,1,1,5,2025,35.77800000,10.80000000,2.00,110084,108
2766,4,2,resolved,"2025-03-31 13:29:00","2025-04-06 13:29:00",3,1,2,2025,35.77800000,10.80000000,2.00,110084,108
3038,4,2,reported,"2025-02-03 17:05:00",,2,1,2,2025,35.77800000,10.80000000,2.00,110084,108
3088,1,2,resolved,"2022-09-30 11:44:00","2022-10-08 11:44:00",9,3,6,2022,35.77800000,10.80000000,2.00,110084,108
3189,1,2,resolved,"2023-01-26 19:09:00","2023-01-29 19:09:00",1,1,5,2023,35.77800000,10.80000000,2.00,110084,108
3203,2,2,"in progress","2025-04-16 19:00:00",,4,2,4,2025,35.77800000,10.80000000,2.00,110084,108
3385,4,2,resolved,"2024-04-03 11:04:00","2024-04-12 11:04:00",4,2,4,2024,35.77800000,10.80000000,2.00,110084,108
3448,1,2,"in progress","2023-08-02 03:37:00",,8,3,4,2023,35.77800000,10.80000000,2.00,110084,108
3500,5,2,resolved,"2025-01-02 18:09:00","2025-01-16 18:09:00",1,1,5,2025,35.77800000,10.80000000,2.00,110084,108
3990,4,2,resolved,"2023-09-21 05:24:00","2023-09-28 05:24:00",9,3,5,2023,35.77800000,10.80000000,2.00,110084,108
4296,5,2,resolved,"2023-11-07 09:45:00","2023-11-12 09:45:00",11,4,3,2023,35.77800000,10.80000000,2.00,110084,108
4420,4,2,resolved,"2023-08-14 15:51:00","2023-08-27 15:51:00",8,3,2,2023,35.77800000,10.80000000,2.00,110084,108
4518,4,2,resolved,"2025-03-12 21:36:00","2025-03-14 21:36:00",3,1,4,2025,35.77800000,10.80000000,2.00,110084,108
4833,1,2,resolved,"2024-09-02 10:01:00","2024-09-09 10:01:00",9,3,2,2024,35.77800000,10.80000000,2.00,110084,108
4868,5,2,reported,"2025-02-14 15:53:00",,2,1,6,2025,35.77800000,10.80000000,2.00,110084,108
4959,5,2,reported,"2025-03-10 14:37:00",,3,1,2,2025,35.77800000,10.80000000,2.00,110084,108
5140,4,2,rejected,"2024-07-19 04:18:00",,7,3,6,2024,35.77800000,10.80000000,2.00,110084,108
5148,3,2,resolved,"2025-02-03 23:17:00","2025-02-14 23:17:00",2,1,2,2025,35.77800000,10.80000000,2.00,110084,108
107,2,3,resolved,"2023-06-02 14:57:00","2023-06-16 14:57:00",6,2,6,2023,35.75000000,10.82000000,2.00,110084,108
110,4,3,resolved,"2024-10-11 08:08:00","2024-10-19 08:08:00",10,4,6,2024,35.75000000,10.82000000,2.00,110084,108
204,5,3,resolved,"2023-03-22 11:49:00","2023-03-28 11:49:00",3,1,4,2023,35.75000000,10.82000000,2.00,110084,108
354,4,3,resolved,"2023-06-01 23:20:00","2023-06-12 23:20:00",6,2,5,2023,35.75000000,10.82000000,2.00,110084,108
408,5,3,"in progress","2024-01-03 13:32:00",,1,1,4,2024,35.75000000,10.82000000,2.00,110084,108
730,4,3,"in progress","2023-12-09 09:32:00",,12,4,7,2023,35.75000000,10.82000000,2.00,110084,108
905,6,3,resolved,"2025-01-20 13:58:00","2025-01-22 13:58:00",1,1,2,2025,35.75000000,10.82000000,2.00,110084,108
924,2,3,resolved,"2022-08-20 06:45:00","2022-08-22 06:45:00",8,3,7,2022,35.75000000,10.82000000,2.00,110084,108
1285,6,3,resolved,"2024-04-21 07:45:00","2024-04-25 07:45:00",4,2,1,2024,35.75000000,10.82000000,2.00,110084,108
1293,2,3,resolved,"2023-11-02 15:28:00","2023-11-08 15:28:00",11,4,5,2023,35.75000000,10.82000000,2.00,110084,108
1318,5,3,resolved,"2022-10-17 15:23:00","2022-10-24 15:23:00",10,4,2,2022,35.75000000,10.82000000,2.00,110084,108
1382,5,3,resolved,"2024-03-26 13:06:00","2024-04-01 13:06:00",3,1,3,2024,35.75000000,10.82000000,2.00,110084,108
1536,2,3,reported,"2024-01-23 16:52:00",,1,1,3,2024,35.75000000,10.82000000,2.00,110084,108
1914,4,3,resolved,"2023-10-13 21:24:00","2023-10-17 21:24:00",10,4,6,2023,35.75000000,10.82000000,2.00,110084,108
1921,4,3,resolved,"2025-02-01 13:52:00","2025-02-15 13:52:00",2,1,7,2025,35.75000000,10.82000000,2.00,110084,108
1944,4,3,"in progress","2023-08-01 06:16:00",,8,3,3,2023,35.75000000,10.82000000,2.00,110084,108
2101,5,3,resolved,"2023-10-24 15:26:00","2023-11-01 15:26:00",10,4,3,2023,35.75000000,10.82000000,2.00,110084,108
2243,2,3,reported,"2024-01-30 19:17:00",,1,1,3,2024,35.75000000,10.82000000,2.00,110084,108
2362,1,3,resolved,"2022-09-09 11:18:00","2022-09-10 11:18:00",9,3,6,2022,35.75000000,10.82000000,2.00,110084,108
2477,4,3,resolved,"2023-03-25 20:22:00","2023-04-01 20:22:00",3,1,7,2023,35.75000000,10.82000000,2.00,110084,108
2500,2,3,resolved,"2022-01-07 08:03:00","2022-01-17 08:03:00",1,1,6,2022,35.75000000,10.82000000,2.00,110084,108
2624,4,3,validated,"2025-01-22 00:03:00",,1,1,4,2025,35.75000000,10.82000000,2.00,110084,108
2696,6,3,resolved,"2025-01-21 08:16:00","2025-02-03 08:16:00",1,1,3,2025,35.75000000,10.82000000,2.00,110084,108
2718,2,3,reported,"2025-02-08 15:55:00",,2,1,7,2025,35.75000000,10.82000000,2.00,110084,108
3066,6,3,resolved,"2025-02-02 18:15:00","2025-02-16 18:15:00",2,1,1,2025,35.75000000,10.82000000,2.00,110084,108
3152,7,3,reported,"2025-03-28 15:44:00",,3,1,6,2025,35.75000000,10.82000000,2.00,110084,108
3417,1,3,reported,"2025-01-24 10:59:00",,1,1,6,2025,35.75000000,10.82000000,2.00,110084,108
3441,4,3,resolved,"2024-10-22 21:57:00","2024-11-04 21:57:00",10,4,3,2024,35.75000000,10.82000000,2.00,110084,108
3533,5,3,"in progress","2025-04-04 11:54:00",,4,2,6,2025,35.75000000,10.82000000,2.00,110084,108
3556,2,3,reported,"2024-10-07 16:52:00",,10,4,2,2024,35.75000000,10.82000000,2.00,110084,108
4093,2,3,resolved,"2022-02-24 13:23:00","2022-03-08 13:23:00",2,1,5,2022,35.75000000,10.82000000,2.00,110084,108
4158,2,3,resolved,"2023-03-13 18:15:00","2023-03-23 18:15:00",3,1,2,2023,35.75000000,10.82000000,2.00,110084,108
4285,2,3,"in progress","2025-02-26 14:30:00",,2,1,4,2025,35.75000000,10.82000000,2.00,110084,108
4293,4,3,resolved,"2023-04-11 00:23:00","2023-04-23 00:23:00",4,2,3,2023,35.75000000,10.82000000,2.00,110084,108
4346,2,3,resolved,"2024-12-22 07:20:00","2024-12-30 07:20:00",12,4,1,2024,35.75000000,10.82000000,2.00,110084,108
4379,7,3,rejected,"2025-04-15 19:35:00",,4,2,3,2025,35.75000000,10.82000000,2.00,110084,108
4482,3,3,rejected,"2022-10-10 21:45:00",,10,4,2,2022,35.75000000,10.82000000,2.00,110084,108
4601,6,3,resolved,"2023-05-27 09:34:00","2023-06-09 09:34:00",5,2,7,2023,35.75000000,10.82000000,2.00,110084,108
4681,2,3,resolved,"2023-07-18 17:16:00","2023-07-23 17:16:00",7,3,3,2023,35.75000000,10.82000000,2.00,110084,108
4692,2,3,reported,"2024-12-30 18:57:00",,12,4,2,2024,35.75000000,10.82000000,2.00,110084,108
4800,5,3,resolved,"2022-11-05 13:44:00","2022-11-17 13:44:00",11,4,7,2022,35.75000000,10.82000000,2.00,110084,108
4847,7,3,resolved,"2025-03-02 19:37:00","2025-03-06 19:37:00",3,1,1,2025,35.75000000,10.82000000,2.00,110084,108
12,3,4,resolved,"2026-04-19 16:50:14","2026-04-20 16:50:14",4,2,1,2026,35.76430000,10.83500000,1.80,110084,108
25,6,4,"in progress","2026-04-15 16:50:14",,4,2,4,2026,35.76430000,10.83500000,1.80,110084,108
123,2,4,resolved,"2023-03-13 22:15:00","2023-03-19 22:15:00",3,1,2,2023,35.76430000,10.83500000,1.80,110084,108
224,5,4,rejected,"2023-08-30 18:51:00",,8,3,4,2023,35.76430000,10.83500000,1.80,110084,108
258,5,4,reported,"2024-11-10 17:21:00",,11,4,1,2024,35.76430000,10.83500000,1.80,110084,108
361,2,4,validated,"2024-08-12 12:31:00",,8,3,2,2024,35.76430000,10.83500000,1.80,110084,108
474,4,4,"in progress","2024-10-12 09:03:00",,10,4,7,2024,35.76430000,10.83500000,1.80,110084,108
518,4,4,"in progress","2024-06-13 20:34:00",,6,2,5,2024,35.76430000,10.83500000,1.80,110084,108
657,7,4,resolved,"2022-06-08 15:45:00","2022-06-12 15:45:00",6,2,4,2022,35.76430000,10.83500000,1.80,110084,108
665,5,4,reported,"2025-05-25 18:36:00",,5,2,1,2025,35.76430000,10.83500000,1.80,110084,108
704,5,4,"in progress","2025-04-04 17:06:00",,4,2,6,2025,35.76430000,10.83500000,1.80,110084,108
748,2,4,resolved,"2023-03-24 17:38:00","2023-03-30 17:38:00",3,1,6,2023,35.76430000,10.83500000,1.80,110084,108
955,2,4,rejected,"2024-11-20 13:47:00",,11,4,4,2024,35.76430000,10.83500000,1.80,110084,108
1048,4,4,resolved,"2022-07-02 22:05:00","2022-07-07 22:05:00",7,3,7,2022,35.76430000,10.83500000,1.80,110084,108
1193,5,4,resolved,"2025-03-15 14:25:00","2025-03-28 14:25:00",3,1,7,2025,35.76430000,10.83500000,1.80,110084,108
1414,7,4,rejected,"2024-01-17 18:30:00",,1,1,4,2024,35.76430000,10.83500000,1.80,110084,108
1725,3,4,resolved,"2022-11-06 19:51:00","2022-11-10 19:51:00",11,4,1,2022,35.76430000,10.83500000,1.80,110084,108
1759,6,4,validated,"2024-07-31 10:23:00",,7,3,4,2024,35.76430000,10.83500000,1.80,110084,108
1776,6,4,resolved,"2025-01-31 12:58:00","2025-02-13 12:58:00",1,1,6,2025,35.76430000,10.83500000,1.80,110084,108
1853,3,4,reported,"2024-08-04 20:17:00",,8,3,1,2024,35.76430000,10.83500000,1.80,110084,108
1918,3,4,validated,"2025-04-03 05:04:00",,4,2,5,2025,35.76430000,10.83500000,1.80,110084,108
1992,3,4,reported,"2023-08-11 01:39:00",,8,3,6,2023,35.76430000,10.83500000,1.80,110084,108
2093,4,4,"in progress","2024-12-28 08:31:00",,12,4,7,2024,35.76430000,10.83500000,1.80,110084,108
2150,5,4,reported,"2025-01-19 15:03:00",,1,1,1,2025,35.76430000,10.83500000,1.80,110084,108
2235,3,4,resolved,"2023-01-11 02:35:00","2023-01-19 02:35:00",1,1,4,2023,35.76430000,10.83500000,1.80,110084,108
2302,3,4,"in progress","2025-01-01 20:20:00",,1,1,4,2025,35.76430000,10.83500000,1.80,110084,108
2386,2,4,resolved,"2024-12-10 11:25:00","2024-12-14 11:25:00",12,4,3,2024,35.76430000,10.83500000,1.80,110084,108
2580,4,4,rejected,"2025-01-20 09:53:00",,1,1,2,2025,35.76430000,10.83500000,1.80,110084,108
2589,2,4,"in progress","2024-09-15 13:21:00",,9,3,1,2024,35.76430000,10.83500000,1.80,110084,108
2784,6,4,resolved,"2023-03-01 10:52:00","2023-03-04 10:52:00",3,1,4,2023,35.76430000,10.83500000,1.80,110084,108
2911,6,4,reported,"2025-01-02 14:45:00",,1,1,5,2025,35.76430000,10.83500000,1.80,110084,108
3012,5,4,rejected,"2025-02-21 09:37:00",,2,1,6,2025,35.76430000,10.83500000,1.80,110084,108
3054,7,4,validated,"2025-01-08 10:14:00",,1,1,4,2025,35.76430000,10.83500000,1.80,110084,108
3365,4,4,resolved,"2023-04-25 05:42:00","2023-04-26 05:42:00",4,2,3,2023,35.76430000,10.83500000,1.80,110084,108
3502,3,4,resolved,"2022-02-13 00:09:00","2022-02-19 00:09:00",2,1,1,2022,35.76430000,10.83500000,1.80,110084,108
3648,4,4,resolved,"2023-07-03 18:50:00","2023-07-09 18:50:00",7,3,2,2023,35.76430000,10.83500000,1.80,110084,108
3775,5,4,"in progress","2022-04-07 15:34:00",,4,2,5,2022,35.76430000,10.83500000,1.80,110084,108
4085,7,4,resolved,"2025-04-18 19:08:00","2025-04-19 19:08:00",4,2,6,2025,35.76430000,10.83500000,1.80,110084,108
4146,4,4,resolved,"2023-08-22 06:42:00","2023-08-23 06:42:00",8,3,3,2023,35.76430000,10.83500000,1.80,110084,108
4269,1,4,reported,"2024-10-03 15:32:00",,10,4,5,2024,35.76430000,10.83500000,1.80,110084,108
4496,2,4,resolved,"2023-02-19 16:39:00","2023-03-02 16:39:00",2,1,1,2023,35.76430000,10.83500000,1.80,110084,108
4780,3,4,resolved,"2025-01-02 21:38:00","2025-01-09 21:38:00",1,1,5,2025,35.76430000,10.83500000,1.80,110084,108
4920,6,4,resolved,"2023-04-09 08:00:00","2023-04-23 08:00:00",4,2,1,2023,35.76430000,10.83500000,1.80,110084,108
4934,4,4,resolved,"2024-06-08 13:50:00","2024-06-17 13:50:00",6,2,7,2024,35.76430000,10.83500000,1.80,110084,108
5052,6,4,resolved,"2023-09-08 13:20:00","2023-09-11 13:20:00",9,3,6,2023,35.76430000,10.83500000,1.80,110084,108
20,4,5,"in progress","2026-04-18 16:50:14",,4,2,7,2026,35.76430000,10.79000000,1.80,110084,108
34,5,5,resolved,"2023-10-31 18:41:00","2023-11-12 18:41:00",10,4,3,2023,35.76430000,10.79000000,1.80,110084,108
91,4,5,"in progress","2024-08-20 14:26:00",,8,3,3,2024,35.76430000,10.79000000,1.80,110084,108
103,3,5,resolved,"2025-01-01 23:05:00","2025-01-02 23:05:00",1,1,4,2025,35.76430000,10.79000000,1.80,110084,108
132,3,5,resolved,"2025-03-31 22:53:00","2025-04-09 22:53:00",3,1,2,2025,35.76430000,10.79000000,1.80,110084,108
136,5,5,resolved,"2024-11-17 11:23:00","2024-11-26 11:23:00",11,4,1,2024,35.76430000,10.79000000,1.80,110084,108
190,4,5,rejected,"2024-07-02 17:53:00",,7,3,3,2024,35.76430000,10.79000000,1.80,110084,108
268,3,5,resolved,"2025-01-18 19:53:00","2025-01-21 19:53:00",1,1,7,2025,35.76430000,10.79000000,1.80,110084,108
291,4,5,reported,"2025-01-15 18:11:00",,1,1,4,2025,35.76430000,10.79000000,1.80,110084,108
326,3,5,resolved,"2022-02-12 19:09:00","2022-02-23 19:09:00",2,1,7,2022,35.76430000,10.79000000,1.80,110084,108
352,6,5,"in progress","2024-06-27 06:19:00",,6,2,5,2024,35.76430000,10.79000000,1.80,110084,108
396,6,5,"in progress","2024-09-15 07:53:00",,9,3,1,2024,35.76430000,10.79000000,1.80,110084,108
448,4,5,reported,"2025-05-14 10:41:00",,5,2,4,2025,35.76430000,10.79000000,1.80,110084,108
458,3,5,resolved,"2023-06-07 23:55:00","2023-06-10 23:55:00",6,2,4,2023,35.76430000,10.79000000,1.80,110084,108
487,1,5,"in progress","2024-01-23 03:54:00",,1,1,3,2024,35.76430000,10.79000000,1.80,110084,108
506,2,5,validated,"2024-07-11 07:39:00",,7,3,5,2024,35.76430000,10.79000000,1.80,110084,108
508,5,5,resolved,"2025-04-14 12:05:00","2025-04-24 12:05:00",4,2,2,2025,35.76430000,10.79000000,1.80,110084,108
515,5,5,reported,"2024-07-11 08:18:00",,7,3,5,2024,35.76430000,10.79000000,1.80,110084,108
566,3,5,resolved,"2024-01-09 20:59:00","2024-01-22 20:59:00",1,1,3,2024,35.76430000,10.79000000,1.80,110084,108
1000,7,5,"in progress","2025-03-23 17:08:00",,3,1,1,2025,35.76430000,10.79000000,1.80,110084,108
1060,4,5,reported,"2025-01-04 08:27:00",,1,1,7,2025,35.76430000,10.79000000,1.80,110084,108
1076,5,5,"in progress","2025-01-09 08:25:00",,1,1,5,2025,35.76430000,10.79000000,1.80,110084,108
1089,6,5,resolved,"2025-03-20 07:56:00","2025-03-24 07:56:00",3,1,5,2025,35.76430000,10.79000000,1.80,110084,108
1546,4,5,resolved,"2024-03-23 18:48:00","2024-04-04 18:48:00",3,1,7,2024,35.76430000,10.79000000,1.80,110084,108
1629,1,5,reported,"2025-03-31 19:50:00",,3,1,2,2025,35.76430000,10.79000000,1.80,110084,108
1635,4,5,resolved,"2025-02-02 10:55:00","2025-02-03 10:55:00",2,1,1,2025,35.76430000,10.79000000,1.80,110084,108
1696,5,5,resolved,"2024-10-13 18:44:00","2024-10-27 18:44:00",10,4,1,2024,35.76430000,10.79000000,1.80,110084,108
1708,3,5,validated,"2025-03-24 03:55:00",,3,1,2,2025,35.76430000,10.79000000,1.80,110084,108
1721,3,5,"in progress","2024-01-08 22:35:00",,1,1,2,2024,35.76430000,10.79000000,1.80,110084,108
1728,6,5,resolved,"2024-06-22 11:29:00","2024-06-25 11:29:00",6,2,7,2024,35.76430000,10.79000000,1.80,110084,108
1761,1,5,resolved,"2025-01-14 12:19:00","2025-01-27 12:19:00",1,1,3,2025,35.76430000,10.79000000,1.80,110084,108
1774,2,5,resolved,"2023-12-31 06:00:00","2024-01-07 06:00:00",12,4,1,2023,35.76430000,10.79000000,1.80,110084,108
1798,5,5,resolved,"2023-08-07 13:42:00","2023-08-19 13:42:00",8,3,2,2023,35.76430000,10.79000000,1.80,110084,108
1934,2,5,resolved,"2023-06-13 18:51:00","2023-06-18 18:51:00",6,2,3,2023,35.76430000,10.79000000,1.80,110084,108
1964,3,5,resolved,"2023-07-27 00:06:00","2023-07-28 00:06:00",7,3,5,2023,35.76430000,10.79000000,1.80,110084,108
2144,4,5,resolved,"2024-04-02 12:15:00","2024-04-06 12:15:00",4,2,3,2024,35.76430000,10.79000000,1.80,110084,108
2201,4,5,resolved,"2022-01-31 06:22:00","2022-02-12 06:22:00",1,1,2,2022,35.76430000,10.79000000,1.80,110084,108
2203,6,5,rejected,"2024-12-30 07:02:00",,12,4,2,2024,35.76430000,10.79000000,1.80,110084,108
2279,7,5,"in progress","2024-07-11 14:00:00",,7,3,5,2024,35.76430000,10.79000000,1.80,110084,108
2375,4,5,rejected,"2024-11-02 20:51:00",,11,4,7,2024,35.76430000,10.79000000,1.80,110084,108
2392,2,5,resolved,"2022-03-28 17:31:00","2022-04-03 17:31:00",3,1,2,2022,35.76430000,10.79000000,1.80,110084,108
2467,3,5,rejected,"2024-05-30 00:30:00",,5,2,5,2024,35.76430000,10.79000000,1.80,110084,108
2482,2,5,reported,"2023-02-07 07:25:00",,2,1,3,2023,35.76430000,10.79000000,1.80,110084,108
2535,2,5,rejected,"2024-09-03 18:20:00",,9,3,3,2024,35.76430000,10.79000000,1.80,110084,108
2543,6,5,validated,"2024-02-27 10:42:00",,2,1,3,2024,35.76430000,10.79000000,1.80,110084,108
2563,2,5,resolved,"2022-06-09 15:21:00","2022-06-22 15:21:00",6,2,5,2022,35.76430000,10.79000000,1.80,110084,108
2602,4,5,rejected,"2024-07-04 08:17:00",,7,3,5,2024,35.76430000,10.79000000,1.80,110084,108
2639,5,5,"in progress","2023-10-18 17:29:00",,10,4,4,2023,35.76430000,10.79000000,1.80,110084,108
